"Store_id","Date","Region_Code","Store_Type","Location_Type","Latitude","Longitude","Predicted_Sales"
1,2019-06-01,"R1","S1","L3",40.5888817842118,-80.3552069962025,40285.359375
1,2019-06-02,"R1","S1","L3",40.5888817842118,-80.3552069962025,37519.921875
1,2019-06-03,"R1","S1","L3",40.5888817842118,-80.3552069962025,30110.720703125
1,2019-06-04,"R1","S1","L3",40.5888817842118,-80.3552069962025,30232.56640625
1,2019-06-05,"R1","S1","L3",40.5888817842118,-80.3552069962025,29727.548828125
1,2019-06-06,"R1","S1","L3",40.5888817842118,-80.3552069962025,30232.56640625
1,2019-06-07,"R1","S1","L3",40.5888817842118,-80.3552069962025,29994.234375
1,2019-06-08,"R1","S1","L3",40.5888817842118,-80.3552069962025,48803.44140625
1,2019-06-09,"R1","S1","L3",40.5888817842118,-80.3552069962025,46669.65625
1,2019-06-10,"R1","S1","L3",40.5888817842118,-80.3552069962025,40055.7734375
1,2019-06-11,"R1","S1","L3",40.5888817842118,-80.3552069962025,40055.7734375
1,2019-06-12,"R1","S1","L3",40.5888817842118,-80.3552069962025,39912.67578125
1,2019-06-13,"R1","S1","L3",40.5888817842118,-80.3552069962025,29660.7265625
1,2019-06-14,"R1","S1","L3",40.5888817842118,-80.3552069962025,29660.7265625
1,2019-06-15,"R1","S1","L3",40.5888817842118,-80.3552069962025,32579.8984375
1,2019-06-16,"R1","S1","L3",40.5888817842118,-80.3552069962025,31739.953125
1,2019-06-17,"R1","S1","L3",40.5888817842118,-80.3552069962025,30435.88671875
1,2019-06-18,"R1","S1","L3",40.5888817842118,-80.3552069962025,31164.564453125
1,2019-06-19,"R1","S1","L3",40.5888817842118,-80.3552069962025,41583.02734375
1,2019-06-20,"R1","S1","L3",40.5888817842118,-80.3552069962025,41583.02734375
1,2019-06-21,"R1","S1","L3",40.5888817842118,-80.3552069962025,41704.30078125
1,2019-06-22,"R1","S1","L3",40.5888817842118,-80.3552069962025,48481.78515625
1,2019-06-23,"R1","S1","L3",40.5888817842118,-80.3552069962025,48481.78515625
1,2019-06-24,"R1","S1","L3",40.5888817842118,-80.3552069962025,31285.837890625
1,2019-06-25,"R1","S1","L3",40.5888817842118,-80.3552069962025,31561.8984375
1,2019-06-26,"R1","S1","L3",40.5888817842118,-80.3552069962025,31816.451171875
1,2019-06-27,"R1","S1","L3",40.5888817842118,-80.3552069962025,31816.451171875
1,2019-06-28,"R1","S1","L3",40.5888817842118,-80.3552069962025,31875.982421875
1,2019-06-29,"R1","S1","L3",40.5888817842118,-80.3552069962025,36653.65234375
1,2019-06-30,"R1","S1","L3",40.5888817842118,-80.3552069962025,41680.26953125
1,2019-07-01,"R1","S1","L3",40.5888817842118,-80.3552069962025,42737.8515625
1,2019-07-02,"R1","S1","L3",40.5888817842118,-80.3552069962025,42682.0234375
1,2019-07-03,"R1","S1","L3",40.5888817842118,-80.3552069962025,43399.87109375
1,2019-07-04,"R1","S1","L3",40.5888817842118,-80.3552069962025,34457.7890625
1,2019-07-05,"R1","S1","L3",40.5888817842118,-80.3552069962025,43399.87109375
1,2019-07-06,"R1","S1","L3",40.5888817842118,-80.3552069962025,41080.3359375
1,2019-07-07,"R1","S1","L3",40.5888817842118,-80.3552069962025,41080.3359375
1,2019-07-08,"R1","S1","L3",40.5888817842118,-80.3552069962025,31659.73828125
1,2019-07-09,"R1","S1","L3",40.5888817842118,-80.3552069962025,30626.552734375
1,2019-07-10,"R1","S1","L3",40.5888817842118,-80.3552069962025,30626.552734375
1,2019-07-11,"R1","S1","L3",40.5888817842118,-80.3552069962025,30626.552734375
1,2019-07-12,"R1","S1","L3",40.5888817842118,-80.3552069962025,30626.552734375
1,2019-07-13,"R1","S1","L3",40.5888817842118,-80.3552069962025,47091.26171875
1,2019-07-14,"R1","S1","L3",40.5888817842118,-80.3552069962025,47091.26171875
1,2019-07-15,"R1","S1","L3",40.5888817842118,-80.3552069962025,41374.76953125
1,2019-07-16,"R1","S1","L3",40.5888817842118,-80.3552069962025,41483.12109375
1,2019-07-17,"R1","S1","L3",40.5888817842118,-80.3552069962025,41483.12109375
1,2019-07-18,"R1","S1","L3",40.5888817842118,-80.3552069962025,30853.36328125
1,2019-07-19,"R1","S1","L3",40.5888817842118,-80.3552069962025,30853.36328125
1,2019-07-20,"R1","S1","L3",40.5888817842118,-80.3552069962025,35038.7890625
1,2019-07-21,"R1","S1","L3",40.5888817842118,-80.3552069962025,35160.0625
1,2019-07-22,"R1","S1","L3",40.5888817842118,-80.3552069962025,30974.63671875
1,2019-07-23,"R1","S1","L3",40.5888817842118,-80.3552069962025,27109.73046875
1,2019-07-24,"R1","S1","L3",40.5888817842118,-80.3552069962025,27109.73046875
1,2019-07-25,"R1","S1","L3",40.5888817842118,-80.3552069962025,37475.90234375
1,2019-07-26,"R1","S1","L3",40.5888817842118,-80.3552069962025,37554.96875
1,2019-07-27,"R1","S1","L3",40.5888817842118,-80.3552069962025,43863.22265625
1,2019-07-28,"R1","S1","L3",40.5888817842118,-80.3552069962025,44314.81640625
1,2019-07-29,"R1","S1","L3",40.5888817842118,-80.3552069962025,37671.98046875
1,2019-07-30,"R1","S1","L3",40.5888817842118,-80.3552069962025,26817.169921875
1,2019-07-31,"R1","S1","L3",40.5888817842118,-80.3552069962025,26772.48828125
2,2019-06-01,"R3","S3","L1",37.249764774926,-87.6305735544302,55597.01953125
2,2019-06-02,"R3","S3","L1",37.249764774926,-87.6305735544302,49010.31640625
2,2019-06-03,"R3","S3","L1",37.249764774926,-87.6305735544302,39625.4921875
2,2019-06-04,"R3","S3","L1",37.249764774926,-87.6305735544302,39747.33984375
2,2019-06-05,"R3","S3","L1",37.249764774926,-87.6305735544302,44144.375
2,2019-06-06,"R3","S3","L1",37.249764774926,-87.6305735544302,53435.56640625
2,2019-06-07,"R3","S3","L1",37.249764774926,-87.6305735544302,53197.23046875
2,2019-06-08,"R3","S3","L1",37.249764774926,-87.6305735544302,63297.38671875
2,2019-06-09,"R3","S3","L1",37.249764774926,-87.6305735544302,60975.0625
2,2019-06-10,"R3","S3","L1",37.249764774926,-87.6305735544302,38870.078125
2,2019-06-11,"R3","S3","L1",37.249764774926,-87.6305735544302,38870.078125
2,2019-06-12,"R3","S3","L1",37.249764774926,-87.6305735544302,38870.078125
2,2019-06-13,"R3","S3","L1",37.249764774926,-87.6305735544302,38870.078125
2,2019-06-14,"R3","S3","L1",37.249764774926,-87.6305735544302,38870.078125
2,2019-06-15,"R3","S3","L1",37.249764774926,-87.6305735544302,43576.328125
2,2019-06-16,"R3","S3","L1",37.249764774926,-87.6305735544302,57887.2421875
2,2019-06-17,"R3","S3","L1",37.249764774926,-87.6305735544302,53190.36328125
2,2019-06-18,"R3","S3","L1",37.249764774926,-87.6305735544302,54208.09765625
2,2019-06-19,"R3","S3","L1",37.249764774926,-87.6305735544302,54208.09765625
2,2019-06-20,"R3","S3","L1",37.249764774926,-87.6305735544302,54208.09765625
2,2019-06-21,"R3","S3","L1",37.249764774926,-87.6305735544302,40617.7421875
2,2019-06-22,"R3","S3","L1",37.249764774926,-87.6305735544302,46620.19921875
2,2019-06-23,"R3","S3","L1",37.249764774926,-87.6305735544302,46620.19921875
2,2019-06-24,"R3","S3","L1",37.249764774926,-87.6305735544302,40617.7421875
2,2019-06-25,"R3","S3","L1",37.249764774926,-87.6305735544302,41004.1171875
2,2019-06-26,"R3","S3","L1",37.249764774926,-87.6305735544302,41258.6640625
2,2019-06-27,"R3","S3","L1",37.249764774926,-87.6305735544302,41258.6640625
2,2019-06-28,"R3","S3","L1",37.249764774926,-87.6305735544302,54814.26953125
2,2019-06-29,"R3","S3","L1",37.249764774926,-87.6305735544302,63579.6953125
2,2019-06-30,"R3","S3","L1",37.249764774926,-87.6305735544302,71261.78125
2,2019-07-01,"R3","S3","L1",37.249764774926,-87.6305735544302,56509.51953125
2,2019-07-02,"R3","S3","L1",37.249764774926,-87.6305735544302,55941.66015625
2,2019-07-03,"R3","S3","L1",37.249764774926,-87.6305735544302,42678.96484375
2,2019-07-04,"R3","S3","L1",37.249764774926,-87.6305735544302,39367.9609375
