"Store_id","Store_Type","Location_Type","Region_Code","Latitude","Longitude","Avg_Sales","Total_Sales","Sales_SD","Discount_Rate"
1,"S1","L3","R1",40.5888817842118,-80.3552069962025,34698.4423255814,17904396.24,11816.0304341907,0.457364341085271
2,"S3","L1","R3",37.249764774926,-87.6305735544302,46333.8631976744,23908273.41,14839.1611939499,0.451550387596899
3,"S4","L2","R1",40.7952607670799,-80.3556981135625,62479.4489534884,32239395.66,19293.4795730564,0.455426356589147
4,"S1","L1","R2",39.1099117994308,-83.208937905496,38482.236744186,19856834.16,10921.6075282337,0.451550387596899
5,"S1","L1","R3",35.8444501920603,-88.302499266807,43452.710872093,22421598.81,11109.0364857747,0.455426356589147
6,"S4","L1","R1",40.1774460489629,-80.4092188731302,45360.4027325581,23405967.81,17865.2609517443,0.455426356589147
7,"S3","L1","R3",37.1085125585087,-86.3994438641239,45164.0590697674,23304654.48,12734.6555215219,0.455426356589147
8,"S4","L2","R2",39.799724971992,-84.2258926639333,52565.1620930233,27123623.64,13871.7588524135,0.432170542635659
9,"S1","L1","R1",41.0374395245919,-82.375775989145,34843.0854069767,17979032.07,10799.2234401562,0.447674418604651
10,"S4","L2","R3",35.5023832567967,-87.582235756563,58177.0045348837,30019334.34,17200.4546829255,0.451550387596899
11,"S4","L2","R1",41.7266166870948,-82.052620783681,66055.3137790698,34084541.91,20159.0613797931,0.451550387596899
12,"S1","L3","R2",39.6618873131229,-83.8498385830317,34635.7137790698,17872028.31,14334.9301543534,0.451550387596899
13,"S3","L3","R1",41.2518700802699,-82.0559260977898,39300.1222093023,20278863.06,11903.103517933,0.447674418604651
14,"S3","L2","R4",34.9260861475486,-91.71873727208,56756.3627906977,29286283.2,17102.3927751109,0.451550387596899
15,"S4","L2","R1",40.2749719605316,-80.6630882604513,64993.9295348837,33536867.64,12870.082584825,0.437984496124031
16,"S1","L3","R1",41.6297024496831,-81.9817062611692,36926.4654651163,19054056.18,13368.9964211054,0.451550387596899
17,"S1","L1","R2",39.6412354380591,-85.7580835314002,38527.0968023256,19879981.95,10862.0081053789,0.437984496124031
18,"S4","L1","R1",40.1715012070024,-81.7520156037062,53514.5962790698,27613531.68,13497.2911586931,0.455426356589147
19,"S1","L1","R3",36.8900413946249,-87.6366884915624,37833.0887209302,19521873.78,9271.80756572975,0.437984496124031
20,"S1","L1","R1",41.7226562035503,-81.5437189822551,39638.0799418605,20453249.25,11222.8486992173,0.437984496124031
21,"S3","L2","R4",33.8664623743389,-90.842458252795,49477.3251162791,25530299.76,14634.5731775631,0.455426356589147
22,"S1","L1","R4",34.1327151976293,-89.4131439221092,42246.4437790698,21799164.99,11188.3993807415,0.451550387596899
23,"S1","L1","R4",34.9066552653676,-91.7193093656097,37594.0495348837,19398529.56,10437.3314341589,0.439922480620155
24,"S1","L1","R2",38.6424436197849,-85.6744942895602,35574.5863372093,18356486.55,12941.2744780499,0.455426356589147
25,"S1","L3","R1",41.2146998584969,-82.1131778764538,35462.2984302326,18298545.99,8896.35961031534,0.447674418604651
26,"S1","L1","R3",36.4796741032042,-86.7701550747734,44431.9656395349,22926894.27,12159.7410247406,0.455426356589147
27,"S1","L3","R3",36.4885847237892,-88.7069233895745,31246.6701162791,16123281.78,11074.4527731013,0.451550387596899
28,"S3","L2","R3",37.2767431703396,-86.1142837475054,53921.0811627907,27823277.88,16523.6057177311,0.451550387596899
29,"S1","L4","R2",39.6785317513859,-84.3078726886306,29671.9177325581,15310709.55,11158.7341080106,0.439922480620155
30,"S1","L2","R2",38.6581266191788,-85.0833904414903,47102.7797674419,24305034.36,12766.9634420647,0.451550387596899
31,"S1","L5","R2",38.8593919435516,-85.2019729060121,28131.3756395349,14515789.83,8119.90474393712,0.451550387596899
32,"S1","L1","R2",38.9058173085796,-84.1024976312183,40859.5350581395,21083520.09,9159.27370342694,0.437984496124031
33,"S4","L2","R4",34.3525070181349,-89.4053240353242,57172.764244186,29501146.35,18300.497441497,0.451550387596899
34,"S1","L3","R1",41.4522946100682,-80.9995946774725,34907.5951744186,18012319.11,10119.7960321248,0.449612403100775
35,"S1","L1","R2",39.9868548337836,-83.0229948915076,39135.0218604651,20193671.28,9532.751541486,0.437984496124031
36,"S1","L3","R4",34.310384274344,-89.4044387338217,34683.619244186,17896747.53,15072.6526433983,0.453488372093023
37,"S1","L3","R3",35.7914175251499,-86.6098161954433,32385.8644186047,16711106.04,8668.48014250342,0.451550387596899
38,"S1","L3","R2",39.8579643724952,-85.0139237754047,32233.8895348837,16632687,8489.53804228373,0.437984496124031
39,"S4","L1","R1",40.6409077129792,-80.4006222661119,56655.9259302326,29234457.78,18054.7238960209,0.451550387596899
40,"S1","L1","R4",34.581963899429,-91.7596343343612,42429.1730813953,21893453.31,10625.6427863395,0.437984496124031
41,"S1","L1","R2",39.1747037261957,-83.6139298924245,43792.2418604651,22596796.8,11589.8627865265,0.451550387596899
42,"S1","L4","R3",37.1262262649834,-87.5618701626081,30457.2493604651,15715940.67,10393.4537299282,0.453488372093023
43,"S1","L1","R2",38.6237541186856,-84.5839413984213,35956.0397093023,18553316.49,10544.4719326971,0.451550387596899
44,"S1","L3","R2",39.0089688702719,-84.0553914820775,38174.4255813953,19698003.6,10505.0639470081,0.439922480620155
45,"S3","L1","R1",40.3591560711619,-80.9817388167139,43062.9021511628,22220457.51,14966.6744200058,0.455426356589147
46,"S2","L1","R2",38.9754238721216,-84.6015876256861,32362.0170348837,16698800.79,10230.8458218864,0.437984496124031
47,"S4","L2","R2",39.7473528970731,-83.1727781489026,57459.2273255814,29648961.3,13182.1229489317,0.437984496124031
48,"S1","L1","R2",38.8227581239771,-85.2636071040761,37275.0911046512,19233947.01,10569.4948767472,0.437984496124031
49,"S4","L1","R2",39.2469234042801,-85.9326288222801,55980.9830232558,28886187.24,13584.8680060048,0.451550387596899
50,"S3","L2","R4",33.8257756744279,-91.214598601684,49572.3591860465,25579337.34,13162.360079723,0.451550387596899
51,"S1","L1","R2",38.7880349780899,-85.2198534291238,33697.9086046512,17388120.84,9265.08877594683,0.437984496124031
52,"S1","L1","R3",37.138934279792,-87.0846124226227,42911.6835465116,22142428.71,15272.3262834489,0.451550387596899
53,"S3","L1","R2",38.9825883066515,-85.7738562873565,44939.3295930233,23188694.07,18156.2196923324,0.455426356589147
54,"S1","L2","R3",36.8088015331887,-87.0064739610534,43875.9786627907,22640004.99,12983.6405341429,0.451550387596899
55,"S1","L1","R2",38.5419888579054,-83.244382028468,40199.6240116279,20743005.99,12467.3386030161,0.439922480620155
56,"S2","L5","R3",36.4227378536016,-86.7751404785085,26324.9986627907,13583699.31,6652.74961820749,0.437984496124031
57,"S4","L1","R1",40.3168038054137,-82.5720944637433,45412.9975581395,23433106.74,13407.0263173545,0.451550387596899
58,"S1","L1","R1",41.3806233693147,-81.9217013870366,43499.9329651163,22445965.41,13032.6047148292,0.447674418604651
59,"S1","L3","R1",41.6215771105606,-82.2634847974405,33089.5753488372,17074220.88,9526.70615260254,0.451550387596899
60,"S1","L5","R2",39.8366714686854,-85.1316416347399,28169.840755814,14535637.83,10197.5049330666,0.451550387596899
61,"S1","L1","R3",37.3673930410296,-86.7792161384132,42016.6625581395,21680597.88,14052.7043974129,0.439922480620155
62,"S2","L5","R1",40.261229123571,-82.4024847964756,24454.406744186,12618473.88,6292.96192157626,0.437984496124031
63,"S1","L1","R2",39.0823069956386,-84.5598609764129,44453.616744186,22938066.24,10547.9096950888,0.437984496124031
64,"S3","L1","R2",38.7407126387116,-83.7131748013198,44305.2372093023,22861502.4,9302.10946786926,0.437984496124031
65,"S1","L2","R2",39.7938278462971,-85.0141642249655,53128.9040116279,27414514.47,18859.1971304101,0.437984496124031
66,"S3","L3","R3",36.3152613155544,-86.2690906692296,39500.7163372093,20382369.63,10925.3574344614,0.455426356589147
67,"S2","L5","R1",41.477109400183,-80.0275288019329,20157.9676744186,10401511.32,10600.1852412043,0.455426356589147
68,"S1","L2","R4",34.1888612258481,-91.0699252143968,47558.3236046512,24540094.98,13471.6441703938,0.451550387596899
69,"S1","L1","R4",33.8622533751186,-91.5886073620059,34486.4079651163,17794986.51,7734.27075896346,0.437984496124031
70,"S1","L1","R3",36.0184896821156,-86.7103542762343,36120.9138953488,18638391.57,13218.9404402998,0.408914728682171
71,"S2","L5","R1",41.3826077696867,-81.3258612747304,21146.7054069767,10911699.99,5922.10207251488,0.451550387596899
72,"S1","L2","R3",36.2316909465007,-88.3198184838984,49292.4168604651,25434887.1,13107.0603142737,0.451550387596899
73,"S3","L2","R4",33.9304364288691,-89.5581303846557,53277.6015116279,27491242.38,14710.1305970504,0.451550387596899
74,"S3","L1","R2",38.6491687350208,-85.6219184044749,47613.4880813953,24568559.85,13480.963683085,0.455426356589147
75,"S3","L2","R3",36.0255926083773,-88.8651767410338,52772.4086046512,27230562.84,15022.3357037237,0.451550387596899
76,"S2","L3","R3",37.4372823359445,-86.9912947597913,28349.9659302326,14628582.42,7990.29349152885,0.437984496124031
77,"S2","L5","R3",36.4769909647293,-86.7611684801523,21475.8293023256,11081527.92,6276.48179210632,0.451550387596899
78,"S1","L1","R4",34.4728345229523,-91.7986381433439,35057.5372674419,18089689.23,11993.1058865203,0.451550387596899
79,"S2","L5","R4",34.8744586094981,-90.6943746937905,24957.4662209302,12878052.57,8923.88182300726,0.451550387596899
80,"S1","L1","R1",40.2889302213909,-81.3138654308859,34674.1183139535,17891845.05,10816.8287845006,0.451550387596899
