"Store_id","Store_Type","Location_Type","Region_Code","Latitude","Longitude","Forecasted_Sales","Forecast_SD"
1,"S1","L3","R1",40.5888817842118,-80.3552069962025,36401.0532786885,6428.87246387622
2,"S3","L1","R3",37.249764774926,-87.6305735544302,47482.1743084016,8600.4757910181
3,"S4","L2","R1",40.7952607670799,-80.3556981135625,65380.3921618852,9527.41483609822
4,"S1","L1","R2",39.1099117994308,-83.208937905496,40807.2375128074,6549.71579722175
5,"S1","L1","R3",35.8444501920603,-88.302499266807,43287.6840420082,6969.43844673508
6,"S4","L1","R1",40.1774460489629,-80.4092188731302,50842.5287525615,9978.45855537895
7,"S3","L1","R3",37.1085125585087,-86.3994438641239,47396.8395235656,8306.63405417981
8,"S4","L2","R2",39.799724971992,-84.2258926639333,59452.016713627,9852.73798972399
9,"S1","L1","R1",41.0374395245919,-82.375775989145,40213.4735847848,6603.6150938278
10,"S4","L2","R3",35.5023832567967,-87.582235756563,62718.0630122951,9980.66311279041
11,"S4","L2","R1",41.7266166870948,-82.052620783681,66922.4061859631,10031.695981002
12,"S1","L3","R2",39.6618873131229,-83.8498385830317,36359.6485655738,6789.42830235428
13,"S3","L3","R1",41.2518700802699,-82.0559260977898,41222.1347976434,7032.49797019344
14,"S3","L2","R4",34.9260861475486,-91.71873727208,57542.0774205943,9767.91262700495
15,"S4","L2","R1",40.2749719605316,-80.6630882604513,67066.4311603484,8423.50039616633
16,"S1","L3","R1",41.6297024496831,-81.9817062611692,36640.3819159836,6587.01556781469
17,"S1","L1","R2",39.6412354380591,-85.7580835314002,41038.8553406762,6363.68108929077
18,"S4","L1","R1",40.1715012070024,-81.7520156037062,54084.1300589139,8889.59048012143
19,"S1","L1","R3",36.8900413946249,-87.6366884915624,41471.8416367828,6493.30481199242
20,"S1","L1","R1",41.7226562035503,-81.5437189822551,41376.9632108094,6415.78630668867
21,"S3","L2","R4",33.8664623743389,-90.842458252795,54690.361039959,8351.25597534759
22,"S1","L1","R4",34.1327151976293,-89.4131439221092,41985.0968557889,6318.58091602055
23,"S1","L1","R4",34.9066552653676,-91.7193093656097,41478.8192558914,6733.59329549815
